Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemployment Rate
Prince Edward Island,2023,3,18.73,389,0.5607184390426253,-0.061050061,1.6770186335403503,48.8,33.7,17.5,0.1634420150017619,0.2519308862170555,0.17,0.41,,0.3,0.12,7.35
Quebec,2021,2,14.87,172,0.5632702090730968,1.1013215859030838,1.6986706056130174,53,34.3,12.7,0.1309163717105713,0.2598510324395678,0.26,0.23,,0.17,0.34,6.5
Quebec,2021,3,20.5,151,0.3619559096285011,0.5054151624548655,1.089324618736387,62,29.2,8.7,0.1305234484529017,0.2514532799363514,0.26,0.25,,0.18,0.31,5.933333333
Quebec,2021,4,3.91,243,0.2396159004852571,0,0.7183908045977017,58.9,30,11.1,0.1256160684681159,0.2372178774628201,0.26,0.24,,0.18,0.32,4.8
Quebec,2022,1,-7.26,210,1.012471411768434,2.409638554216872,3.0670470756062773,55.8,31.1,13,0.1261738763143352,0.2319470191791264,0.27,0.23,<1%,0.17,0.33,4.533333333
Quebec,2022,2,13.82,352,0.9601993147126804,2.1993127147766245,2.906574394463668,56.8,31.8,11.3,0.1355571490519369,0.2521774344468749,0.25,0.22,,0.17,0.36,4.366666667
Quebec,2022,3,19.66,290,-0.08971125,-0.201884253,-0.268997983,67.6,24,8.4,0.1397942359085002,0.2678335645467765,0.24,0.25,,0.2,0.31,4.266666667
Quebec,2022,4,4.58,239,0.1590834460416153,-0.134048257,0.472016183,59.1,28.6,12.3,0.1386708608780293,0.2725087160561731,0.26,0.21,,0.2,0.33,3.966666667
Quebec,2023,1,-3.66,187,0.5119374226267107,0.9339559706471018,1.543624161073831,59.2,29.3,11.6,0.1342746730870593,0.2643476194644889,0.26,0.21,,0.19,0.34,4.2
Quebec,2023,2,13.86,200,0.6132478076683748,1.0491803278688487,1.8506278916060603,59.2,30,10.8,0.1337033679068602,0.2619344527323121,0.22,0.21,,0.23,0.34,4.2
Quebec,2023,3,20.34,323,0.2807823912651219,0.6476683937823834,0.8436080467229212,55.8,32,12.3,0.138160525,0.2709820455773867,0.22,0.23,,0.22,0.33,4.45
Saskatchewan,2021,2,11.22,70,0.1164353465339754,-0.069492703,0.3489183531053541,42.3,35.9,21.8,0.1470106099683841,0.3293736082122268,0.2,0.36,,0.29,0.15,6.566666667
Saskatchewan,2021,3,17.99,47,0.3697172753376776,0.4837595024188093,1.112656467315709,48.6,35,16.4,0.1442932944060949,0.3131948051948052,0.19,0.4,,0.27,0.14,6.633333333
Saskatchewan,2021,4,-3.53,23,0.1158251350419063,-0.136892539,0.3438789546079679,47.2,32.1,20.7,0.1379546725768669,0.2936541782311118,0.19,0.36,,0.3,0.15,5.666666667
Saskatchewan,2022,1,-7.8,24,1.241472557369246,2.435723951285517,3.769705278,46.9,34.1,18.9,0.1376953640148294,0.2843354044007922,0.18,0.36,<1%,0.3,0.16,4.966666667
Saskatchewan,2022,2,10.04,97,0.8731497485792383,1.968503937007874,2.642007926023804,47.4,32.9,19.6,0.1463224618435497,0.3070672372608592,0.19,0.34,,0.32,0.15,4.6
Saskatchewan,2022,3,19.09,40,0.067292697,-0.447570332,0.1930501930501815,45.6,41.7,12.7,0.1475681349695723,0.3195112921140318,0.18,0.36,,0.32,0.14,4.3
Saskatchewan,2022,4,-5.88,61,0.004583755,-1.330798479,0,41.8,35.2,23,0.1449423770408591,0.3231940914988522,0.19,0.34,,0.32,0.15,4.533333333
Saskatchewan,2023,1,-10.33,7,0.6593426538397192,1.3401403956605125,1.9910083493898776,43.3,36.1,20.6,0.1394201733590957,0.3112521466437691,0.18,0.32,,0.35,0.15,4.433333333
Saskatchewan,2023,2,12.18,55,0.3566336049046104,0.06234414,1.0705289672543916,44.8,37,18.2,0.1383001089428719,0.3070475463499846,0.18,0.32,<1%,0.35,0.15,4.566666667
Saskatchewan,2023,3,17.95,48,0.1455577517932127,0.062073246,0.4361370716511104,49.5,31.1,19.4,0.1414426028767548,0.3135049670355896,0.16,0.35,,0.34,0.15,5.1
